"Notes"	"Residence County"	"Residence County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths
	"Autauga County, AL"	"01001"	"55-64 years"	"55-64"	15
	"Autauga County, AL"	"01001"	"65-74 years"	"65-74"	39
	"Baldwin County, AL"	"01003"	"45-54 years"	"45-54"	25
	"Baldwin County, AL"	"01003"	"55-64 years"	"55-64"	73
	"Baldwin County, AL"	"01003"	"65-74 years"	"65-74"	127
	"Barbour County, AL"	"01005"	"55-64 years"	"55-64"	19
	"Barbour County, AL"	"01005"	"65-74 years"	"65-74"	27
	"Bibb County, AL"	"01007"	"55-64 years"	"55-64"	15
	"Bibb County, AL"	"01007"	"65-74 years"	"65-74"	34
	"Blount County, AL"	"01009"	"45-54 years"	"45-54"	17
	"Blount County, AL"	"01009"	"55-64 years"	"55-64"	41
	"Blount County, AL"	"01009"	"65-74 years"	"65-74"	53
	"Bullock County, AL"	"01011"	"65-74 years"	"65-74"	11
	"Butler County, AL"	"01013"	"55-64 years"	"55-64"	18
	"Butler County, AL"	"01013"	"65-74 years"	"65-74"	18
	"Calhoun County, AL"	"01015"	"35-44 years"	"35-44"	17
	"Calhoun County, AL"	"01015"	"45-54 years"	"45-54"	35
	"Calhoun County, AL"	"01015"	"55-64 years"	"55-64"	85
	"Calhoun County, AL"	"01015"	"65-74 years"	"65-74"	129
	"Chambers County, AL"	"01017"	"45-54 years"	"45-54"	15
	"Chambers County, AL"	"01017"	"55-64 years"	"55-64"	30
	"Chambers County, AL"	"01017"	"65-74 years"	"65-74"	34
	"Cherokee County, AL"	"01019"	"55-64 years"	"55-64"	16
	"Cherokee County, AL"	"01019"	"65-74 years"	"65-74"	19
	"Chilton County, AL"	"01021"	"55-64 years"	"55-64"	36
	"Chilton County, AL"	"01021"	"65-74 years"	"65-74"	54
	"Choctaw County, AL"	"01023"	"55-64 years"	"55-64"	16
	"Choctaw County, AL"	"01023"	"65-74 years"	"65-74"	17
	"Clarke County, AL"	"01025"	"45-54 years"	"45-54"	14
	"Clarke County, AL"	"01025"	"55-64 years"	"55-64"	19
	"Clarke County, AL"	"01025"	"65-74 years"	"65-74"	20
	"Clay County, AL"	"01027"	"55-64 years"	"55-64"	14
	"Clay County, AL"	"01027"	"65-74 years"	"65-74"	16
	"Cleburne County, AL"	"01029"	"55-64 years"	"55-64"	11
	"Cleburne County, AL"	"01029"	"65-74 years"	"65-74"	23
	"Coffee County, AL"	"01031"	"45-54 years"	"45-54"	12
	"Coffee County, AL"	"01031"	"55-64 years"	"55-64"	32
	"Coffee County, AL"	"01031"	"65-74 years"	"65-74"	40
	"Colbert County, AL"	"01033"	"45-54 years"	"45-54"	26
	"Colbert County, AL"	"01033"	"55-64 years"	"55-64"	36
	"Colbert County, AL"	"01033"	"65-74 years"	"65-74"	62
	"Conecuh County, AL"	"01035"	"55-64 years"	"55-64"	16
	"Conecuh County, AL"	"01035"	"65-74 years"	"65-74"	13
	"Covington County, AL"	"01039"	"55-64 years"	"55-64"	29
	"Covington County, AL"	"01039"	"65-74 years"	"65-74"	37
	"Crenshaw County, AL"	"01041"	"65-74 years"	"65-74"	16
	"Cullman County, AL"	"01043"	"45-54 years"	"45-54"	24
	"Cullman County, AL"	"01043"	"55-64 years"	"55-64"	54
	"Cullman County, AL"	"01043"	"65-74 years"	"65-74"	73
	"Dale County, AL"	"01045"	"45-54 years"	"45-54"	13
	"Dale County, AL"	"01045"	"55-64 years"	"55-64"	29
	"Dale County, AL"	"01045"	"65-74 years"	"65-74"	57
	"Dallas County, AL"	"01047"	"35-44 years"	"35-44"	11
